Label,Avg. Words,Std. Words,Min.Words,25%.Words,50%.Words,75%.Words,Max.Words
Cookies and Similar Technologies,64.4,57.07,1,29,54,85,460
Data Retention,59.38,45.94,2,28,53,79,283
Data Security,61.84,40.94,2,34,53,78,258
Data Transfer,67.99,36.48,5,42,64,88,187
First Party Collection,54.06,58.33,1,11,39,78,776
First Party Use,46.09,52.55,1,12,30,63,539
Internal and Specific Audiences,71.35,39.33,3,41,67,99,189
Introductory/Generic,62.38,40.04,1,34,51,84,257
Legal Basis,51.38,45.25,2,18,36,74,243
Links,61.63,50.13,1,24,52,86,296
Other,14.12,32.36,1,2,4,9,632
Policy Change,52.09,40.04,2,15,49,76,177
Privacy Contact Information,25.81,20.98,1,10,21,36,152
Third Party Sharing and Collection,61.01,58.09,2,19,45,82,412
User Control,54.3,44.39,1,22,46,71,319
User Right,49.26,43.06,2,20,40,65,383
