label,count,mean,std,min,25%,50%,75%,max
Cookies and Similar Technologies,362.0,2.588397790055249,1.801562318848049,1.0,1.0,2.0,3.0,15.0
Data Retention,172.0,1.941860465116279,1.1119200101945848,1.0,1.0,2.0,2.0,6.0
Data Security,285.0,2.4771929824561405,1.5667110908537374,1.0,1.0,2.0,3.0,11.0
Data Transfer,143.0,2.2517482517482517,1.183623771285094,1.0,1.0,2.0,3.0,7.0
First Party Collection,1341.0,2.024608501118568,1.5082331066771428,1.0,1.0,1.0,3.0,15.0
First Party Use,1107.0,1.7335140018066848,1.4496949328434192,1.0,1.0,1.0,2.0,18.0
Internal and Specific Audiences,229.0,2.6026200873362444,1.3126216367155004,1.0,2.0,2.0,3.0,7.0
Introductory/Generic,462.0,2.1796536796536796,1.2670432424679148,1.0,1.0,2.0,3.0,7.0
Legal Basis,177.0,1.6271186440677967,1.0697010800295246,1.0,1.0,1.0,2.0,7.0
Links,122.0,2.7049180327868854,1.6894838792808344,1.0,1.0,3.0,4.0,7.0
Other,5061.0,1.3167358229598893,0.8996345849959738,1.0,1.0,1.0,1.0,28.0
Policy Change,218.0,2.4724770642201834,1.427728792201031,1.0,1.0,2.0,3.75,7.0
Privacy Contact Information,281.0,1.3451957295373667,0.8139761628548998,1.0,1.0,1.0,1.0,7.0
Third Party Sharing and Collection,1082.0,2.0388170055452863,1.4926181871173552,1.0,1.0,1.0,3.0,12.0
User Control,215.0,2.167441860465116,1.4913646968421852,1.0,1.0,2.0,3.0,11.0
User Right,673.0,1.9182763744427935,1.2395426867651747,1.0,1.0,2.0,2.0,10.0
